Time (ps),RMSD (Ã…)
0.0,8.374348448920467e-07
1.0,0.19036475366545172
2.0,0.2528228320287914
3.0,0.306194716986541
4.0,0.35673577718866917
5.0,0.39126788409199276
6.0,0.4343163132382094
7.0,0.4645972212126735
8.0,0.5037292431722914
9.0,0.529008457229512
10.0,0.5554270416733409
11.0,0.5679457621237738
12.0,0.5914260942707292
13.0,0.6186701839302204
14.0,0.6332355823547001
15.0,0.6398394402149954
16.0,0.6516936530148181
17.0,0.6481704829137649
18.0,0.6518994512232791
19.0,0.6643457712181473
20.0,0.6776397081596003
21.0,0.6938464820358703
22.0,0.7034542003349666
23.0,0.6966422981484282
24.0,0.7016723073890141
25.0,0.7047070962423136
26.0,0.7117567742878047
27.0,0.7323054375452407
28.0,0.7348610656023086
29.0,0.7531930256938703
30.0,0.7656323087390453
31.0,0.79706851656908
32.0,0.8210030108343533
33.0,0.82622400091086
34.0,0.8180897352213214
35.0,0.8110449621530029
36.0,0.8126685043264563
37.0,0.8269390325823538
38.0,0.8475867297075947
39.0,0.8633565133267738
40.0,0.8764320751060686
41.0,0.8715383241934527
42.0,0.8825096805000675
43.0,0.8829468115113631
44.0,0.8820567765248395
45.0,0.910411048276827
46.0,0.9146494454677684
47.0,0.9205651227267437
48.0,0.9323571583776711
49.0,0.9254440118251773
50.0,0.9133476863705072
51.0,0.9346515873813084
52.0,0.9379544543451351
53.0,0.9438160983956456
54.0,0.9483569182073587
55.0,0.9405085368512546
56.0,0.9515831059440416
57.0,0.9707663571902909
58.0,0.9834344485019876
59.0,0.9921106700162282
60.0,1.0050272790458001
61.0,1.016089878423366
62.0,1.019542852678236
63.0,1.0260856015508224
64.0,1.018065053502937
65.0,1.027212809902878
66.0,1.0413857437878573
67.0,1.046114024899682
68.0,1.0547181389629934
69.0,1.0535864733357505
70.0,1.0581874561711706
71.0,1.0515575196363154
72.0,1.0580408252406626
73.0,1.0614546425614106
74.0,1.0628634905525873
75.0,1.0663671695949528
76.0,1.072642615680918
77.0,1.0701866737707182
78.0,1.0796581193403971
79.0,1.0898861659347072
80.0,1.0901026171486912
81.0,1.094042722218841
82.0,1.094749469652417
83.0,1.0956857368217452
84.0,1.0902247560069904
85.0,1.0889733218439408
86.0,1.0874454531302213
87.0,1.0724087083371714
88.0,1.0731891130748499
89.0,1.0845557059235114
90.0,1.0909281501103931
91.0,1.1022787323641337
92.0,1.1074174634282592
93.0,1.1069257337302567
94.0,1.11050396271776
95.0,1.11309389576974
96.0,1.1132007864635824
97.0,1.1136768435506543
98.0,1.114231517316071
99.0,1.1194390920426636
100.0,1.1270095537201685
101.0,1.1246590227545676
102.0,1.1288484632748537
103.0,1.1176545179514585
104.0,1.1300487426584673
105.0,1.134383479465047
106.0,1.1322056643776308
107.0,1.1273161448671554
108.0,1.1280162189768028
109.0,1.1265345365111696
110.0,1.1245234740548056
111.0,1.1246105082766107
112.0,1.123673013907665
113.0,1.1262473747085544
114.0,1.1340474713517235
115.0,1.1353560412727481
116.0,1.1471921816388677
117.0,1.131456093303092
118.0,1.1335511440504253
119.0,1.1364729574186212
120.0,1.1394839773330505
121.0,1.1524298397527775
122.0,1.1466229647889574
123.0,1.157512444077831
124.0,1.165313661975723
125.0,1.1809969113706904
126.0,1.1800055202503748
127.0,1.1629742345357952
128.0,1.1459480420634427
129.0,1.1465463093902435
130.0,1.1478844219309798
131.0,1.1484698598003302
132.0,1.135931155607418
133.0,1.1435447386259956
134.0,1.1465941983827679
135.0,1.1367061356706436
136.0,1.1307310876144097
137.0,1.1250983513731692
138.0,1.1236060312037557
139.0,1.1289077520885833
140.0,1.126780051043684
141.0,1.1377548992707132
142.0,1.140498495909613
143.0,1.1569261239951576
144.0,1.1717825107242197
145.0,1.1867542712803714
146.0,1.1835279058753936
147.0,1.1742309064613314
148.0,1.1688511323918798
149.0,1.1673028785438495
150.0,1.1746690722317104
151.0,1.1823030039190414
152.0,1.186949079507965
153.0,1.1733041346067083
154.0,1.1633395538793476
155.0,1.1455720666803892
156.0,1.1483424559664832
157.0,1.1427162308150465
158.0,1.1352164074622448
159.0,1.1496363604989353
160.0,1.1471277289118362
161.0,1.1511215128864416
162.0,1.149075560262513
163.0,1.1535063342889924
164.0,1.1768545507166228
165.0,1.1822711251623133
166.0,1.187084177644125
167.0,1.1847097198118088
168.0,1.1860485843481967
169.0,1.178969835913882
170.0,1.182298595627034
171.0,1.1851416157747483
172.0,1.1983352063865866
173.0,1.2115733109481797
174.0,1.2085769713215804
175.0,1.2136895835421622
176.0,1.2139259548819767
177.0,1.2093726650672991
178.0,1.221542777914988
179.0,1.2266685571397113
180.0,1.22808069406511
181.0,1.2280310865173771
182.0,1.2267770782860208
183.0,1.2371956934452983
184.0,1.2257184921688167
185.0,1.2296966060782764
186.0,1.2270579282582383
187.0,1.2235682496538842
188.0,1.2218457170670642
189.0,1.2291338175118558
190.0,1.227105218702449
191.0,1.2347041124139595
192.0,1.233882927903433
193.0,1.217282583623735
194.0,1.2136649929382708
195.0,1.2129792289507517
196.0,1.207524704451793
197.0,1.2181535497497966
198.0,1.228481364898109
199.0,1.2319978083811236
